College,Country,Email Handle
University Of New Haven,United States,newhaven.edu
University Of New Orleans,United States,uno.edu
University Of North Alabama,United States,una.edu
University Of North Carolina Asheville,United States,unca.edu
University Of North Carolina At Pembroke,United States,uncp.edu
University Of North Carolina Chapel Hill,United States,unc.edu
University Of North Carolina Charlotte,United States,uncc.edu
University Of North Carolina Greensboro,United States,uncg.edu
University Of North Carolina School Of The Arts,United States,uncsa.edu
University Of North Carolina Wilmington,United States,uncw.edu
University Of North Dakota,United States,und.edu
University Of North Florida,United States,unf.edu
University Of North Georgia,United States,ung.edu
University Of North Texas,United States,unt.edu
University Of Northern Colorado,United States,unco.edu
University Of Northern Iowa,United States,uni.edu
University Of Northwestern St Paul,United States,unwsp.edu
University Of Notre Dame,United States,nd.edu
University Of Oklahoma,United States,ou.edu
University Of Oregon,United States,uoregon.edu
University Of Pacific,United States,pacific.edu
University Of Pennsylvania,United States,upenn.edu
University Of Pikeville,United States,upike.edu
University Of Pittsburgh,United States,pitt.edu
University Of Pittsburgh At Bradford,United States,pitt.edu
University Of Pittsburgh At Greensburg,United States,pitt.edu
University Of Pittsburgh At Johnstown,United States,pitt.edu
University Of Plymouth,United States,plymouth.ac.uk
University Of Portland,United States,up.edu
University Of Providence,United States,uprovidence.edu
University Of Puerto Rico Arecibo,United States,upr.edu
University Of Puerto Rico Bayamon,United States,upr.edu
University Of Puerto Rico Ponce,United States,upr.edu
University Of Puget Sound,United States,pugetsound.edu
University Of Redlands,United States,redlands.edu
University Of Rhode Island,United States,uri.edu
University Of Richmond,United States,richmond.edu
University Of Rio Grande,United States,rio.edu
University Of Rochester,United States,rochester.edu
University Of Saint Francis Fort Wayne Indiana,United States,sf.edu
University Of Saint Joseph,United States,usj.edu
University Of San Diego,United States,sandiego.edu
University Of San Francisco,United States,usfca.edu
University Of Saskatchewan,United States,usask.ca
University Of Science And Arts Of Oklahoma,United States,usao.edu
University Of Sciences,United States,usciences.edu
University Of Scranton,United States,scranton.edu
University Of Sheffield,United States,sheffield.ac.uk
University Of Sioux Falls,United States,usiouxfalls.edu
University Of South Alabama,United States,southalabama.edu
University Of South Carolina Aiken,United States,usca.edu
University Of South Carolina Beaufort,United States,uscb.edu
University Of South Carolina Columbia,United States,sc.edu
University Of South Carolina Upstate,United States,uscupstate.edu
University Of South Dakota,United States,usd.edu
University Of South Florida,United States,usf.edu
University Of South Florida Sarasota Manatee,United States,sar.usf.edu
University Of Southern Indiana,United States,usi.edu
University Of Southern Maine,United States,maine.edu
University Of Southern Mississippi,United States,usm.edu
University Of St Andrews,United States,st-andrews.ac.uk
University Of St Francis Il,United States,stfrancis.edu
University Of St Mary,United States,stmary.edu
University Of St Thomas,United States,stthom.edu
University Of St Thomas Mn,United States,stthomas.edu
University Of Stirling,United States,stir.ac.uk
University Of Tampa,United States,ut.edu
University Of Tennessee At Chattanooga,United States,utc.edu
University Of Tennessee At Martin,United States,utm.edu
University Of Tennessee Knoxville,United States,utk.edu
University Of Texas At Arlington,United States,uta.edu
University Of Texas At Dallas,United States,utdallas.edu
University Of Texas At El Paso,United States,utep.edu 
University Of Texas At San Antonio,United States,utsa.edu
University Of Texas At Tyler,United States,uttyler.edu
University Of The Cumberlands,United States,ucumberlands.edu
University Of The District Of Columbia,United States,udc.edu
University Of The Incarnate Word,United States,uiwtx.edu
University Of The Ozarks,United States,ozarks.edu
University Of The Pacific,United States,pacific.edu
University Of The Southwest,United States,usw.edu
University Of The Virgin Islands,United States,uvi.edu
University Of Toledo,United States,utoledo.edu
University Of Toronto,United States,utoronto.ca
University Of Tulsa,United States,utulsa.edu
University Of Vermont,United States,uvm.edu
University Of Virginia,United States,virginia.edu
University Of Virginias College Wise,United States,uvawise.edu
University Of Warwick,United States,warwick.ac.uk
University Of Washington Bothell,United States,uw.edu
University Of Washington Tacoma,United States,uw.edu
University Of West,United States,uwest.edu
University Of West Alabama,United States,uwa.edu
University Of West Florida,United States,uwf.edu
University Of West Georgia,United States,westga.edu
University Of West London,United States,uwl.ac.uk
University Of Windsor,United States,uwindsor.ca
University Of Wisconsin Eau Claire,United States,uwec.edu
University Of Wisconsin Green Bay,United States,uwgb.edu
University Of Wisconsin La Crosse,United States,uwlax.edu
University Of Wisconsin Milwaukee,United States,uwm.edu
University Of Wisconsin Oshkosh,United States,uwosh.edu
University Of Wisconsin Parkside,United States,uwp.edu
University Of Wisconsin Platteville,United States,uwplatt.edu
University Of Wisconsin River Falls,United States,uwrf.edu
University Of Wisconsin Stevens Point,United States,uwsp.edu
University Of Wisconsin Stout,United States,uwstout.edu
University Of Wisconsin Superior,United States,uwsuper.edu
University Of Wisconsin Whitewater,United States,uww.edu
University Of Wyoming,United States,uwyo.edu
University Worcester Uk,United States,worc.ac.uk
Upper Iowa University,United States,uiu.edu
Urbana University ,United States,urbana.edu
Ursinus College,United States,ursinus.edu
Ursuline College,United States,ursuline.edu
Utah State University,United States,usu.edu
Utah Valley University,United States,uvu.edu
Utica College,United States,utica.edu
Valdosta State University,United States,valdosta.edu
Valley City State University,United States,vcsu.edu
Valparaiso University,United States,valpo.edu
Vanderbilt University,United States,vanderbilt.edu
Vandercook College Of Music,United States,vandercook.edu
Vanguard University Of Southern California,United States,vanguard.edu
Vassar College,United States,vassar.edu
Vaughn College Of Aeronautics And Technology,United States,vaughn.edu
Vermont Technical College,United States,vtc.edu
Villanova University,United States,villanova.edu
Virginia Commonwealth University,United States,vcu.edu
Virginia Military Institute,United States,vmi.edu
Virginia Polytechnic Institute And State University,United States,vt.edu
Virginia State University,United States,vsu.edu
Virginia Union University,United States,vuu.edu
Virginia University Of Lynchburg,United States,vul.edu
Virginia Wesleyan University,United States,vwu.edu
Viterbo University,United States,viterbo.edu
Voorhees College,United States,voorhees.edu
Wabash College,United States,wabash.edu
Wagner College,United States,wagner.edu
Wake Forest University,United States,wfu.edu
Waldorf University,United States,waldorf.edu
Walla Walla University,United States,wallawalla.edu
Walsh University,United States,walsh.edu
Warner Pacific University,United States,warnerpacific.edu
Warner University,United States,warner.edu
Warren Wilson College,United States,warren-wilson.edu
Wartburg College,United States,wartburg.edu
Warwick University Of The,United States,warwick.ac.uk
Washburn University,United States,washburn.edu
Washington Adventist University,United States,wau.edu
Washington And Lee University,United States,wlu.edu
Washington College,United States,washcoll.edu
Washington Jefferson College,United States,washjeff.edu
Washington State University,United States,wsu.edu
Washington University of St Louis,United States,wustl.edu
Watkins College Art Design Film,United States,watkins.edu
Wayland Baptist University,United States,wbu.edu
Wayne State College,United States,wsc.edu
Wayne State University,United States,wayne.edu
Waynesburg University,United States,waynesburg.edu
Webb Institute,United States,webb.edu
Webber International University,United States,webber.edu
Weber State University,United States,weber.edu
Webster University,United States,webster.edu
Welch College,United States,welch.edu
Wellesley College,United States,wellesley.edu
Wells College,United States,wells.edu
Wentworth Institute Technology,United States,wit.edu
Wesley College,United States,wesley.edu
Wesleyan College,United States,wesleyancollege.edu
Wesleyan University,United States,wesleyan.edu
West Chester University,United States,wcupa.edu
West Liberty University,United States,westliberty.edu
West Texas Am University,United States,wtamu.edu
West Virginia State University,United States,wvstateu.edu
West Virginia University,United States,mail.wvu.edu
West Virginia University Institute Of Technology,United States,mail.wvu.edu
West Virginia University Parkersburg,United States,wvup.edu
West Virginia Wesleyan College,United States,wvwc.edu
Western Carolina University,United States,wcu.edu
Western Connecticut State University,United States,wcsu.edu
Western Illinois University,United States,wiu.edu
Western Kentucky University,United States,wku.edu
Western Michigan University,United States,wmich.edu
Western New England University,United States,wne.edu
Western New Mexico University,United States,wnmu.edu
Western Oregon University,United States,wou.edu
Western State Colorado University,United States,western.edu
Western University,United States,uwo.ca
Western Washington University,United States,wwu.edu
Westfield State University,United States,westfield.ma.edu
Westminster College,United States,westminster.edu
Westminster College Missouri,United States,westminster-mo.edu
Westminster College Utah,United States,westminstercollege.edu
Westmont College,United States,westmont.edu
Wheaton College Il,United States,wheaton.edu
Wheaton College Massachusetts,United States,wheatoncollege.edu
Wheeling Jesuit University,United States,wju.edu
Whitman College,United States,whitman.edu
Whittier College,United States,whittier.edu
Whitworth University,United States,whitworth.edu
Wichita State University,United States,wichita.edu
Widener University,United States,widener.edu
Wilberforce University,United States,wilberforce.edu
Wilkes Honors College,United States,fau.edu
Wilkes University,United States,wilkes.edu
Willamette University,United States,willamette.edu
William Carey University,United States,wmcarey.edu
William Jessup University,United States,jessup.edu
William Jewell College,United States,william.jewell.edu
William Paterson University Nj,United States,wpunj.edu
William Peace University,United States,peace.edu
William Penn University,United States,wmpenn.edu
William Woods University,United States,williamwoods.edu
Williams Baptist College,United States,wbcoll.edu
Williams College,United States,williams.edu
Wilmington College,United States,wilmington.edu
Wilmington University,United States,wilmu.edu
Wilson College,United States,wilson.edu
Wingate University,United States,wingate.edu
Winona State University,United States,winona.edu
Winston Salem State University,United States,wssu.edu
Winthrop University,United States,winthrop.edu
Wisconsin Lutheran College,United States,wlc.edu
Wittenberg University,United States,wittenberg.edu
Wofford College,United States,wofford.edu
Woodbury University,United States,woodbury.edu
Worcester Polytechnic Institute,United States,wpi.edu
Worcester State University,United States,worcester.edu
Wright State University,United States,wright.edu
Wright State University Lake Campus,United States,wright.edu
Wyoming Catholic College,United States,wyomingcatholiccollege.com
Xavier University,United States,xavier.edu
Xavier University,United States,xula.edu
Xavier University Of Louisiana,United States,xula.edu
Yale Nus College,United States,yale-nus.edu.sg
Yale University,United States,yale.edu
Yeshiva University,United States,yu.edu
York College,United States,ycp.edu
York College,United States,york.edu
York University,United States,yorku.ca
Young Harris College,United States,yhc.edu
Youngstown State University,United States,ysu.edu
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
